fishNumber	genus_species
820	Petroscirtes_mitratus
821	Plagiotremus_rhinorhynchos
822	Plagiotremus_tapeinosoma
823	Plagiotremus_townsendi
824	Xiphasia_setifer
825	Enneapterygius_abeli
826	Enneapterygius_clarkae
827	Enneapterygius_destai
828	Enneapterygius_obscurus
829	Enneapterygius_pallidus
830	Enneapterygius_pusillus
831	Enneapterygius_tutuilae
832	Enneapterygius_ventermaculus
833	Helcogramma_obtusirostris
834	Helcogramma_steinitzi
835	Norfolkia_brachylepis
836	Lepadichthys_erythraeus
837	Lepadichthys_lineatus
838	Callionymus_bentuviai
839	Callionymus_delicatulus
840	Callionymus_erythraeus
841	Callionymus_filamentosus
842	Callionymus_flavus
843	Callionymus_gardineri
844	Callionymus_muscatensis
845	Callionymus_oxycephalus
846	Diplogrammus_gruveli
847	Diplogrammus_infulatus
848	Diplogrammus_randalli
849	Synchiropus_sechellensis
850	Periophthalmus_argentilineatus
851	Periophthalmus_kalolo
852	Gnatholepis_anjerensis
853	Oxyurichthys_petersii
854	Acentrogobius_chaimi
855	Acentrogobius_nebulosus
856	Amblyeleotris_diagonalis
857	Amblyeleotris_neglecta
858	Amblyeleotris_steinitzi
859	Amblyeleotris_sungami
860	Amblyeleotris_triguttata
861	Amblyeleotris_wheeleri
862	Amblygobius_albimaculatus
863	Amblygobius_esakiae
864	Amblygobius_nocturnus
865	Amblygobius_sewardii
866	Arcygobius_baliurus
867	Asterropteryx_semipunctata
868	Bathygobius_cyclopterus
869	Bathygobius_fuscus
870	Bryaninops_natans
871	Bryaninops_ridens
872	Bryaninops_yongei
873	Callogobius_amikami
874	Callogobius_bifasciatus
875	Callogobius_dori
876	Callogobius_flavobrunneus
877	Callogobius_maculipinnis
878	Coryogalops_anomolus
879	Coryogalops_ochetica
880	Coryphopterus_humeralis
881	Coryphopterus_longispinus
882	Coryphopterus_maximus
883	Coryphopterus_neophytus
884	Cryptocentroides_arabicus
885	Cryptocentrus_caeruleopunctatus
886	Cryptocentrus_cryptocentrus
887	Cryptocentrus_fasciatus
888	Cryptocentrus_lutheri
889	Ctenogobiops_crocineus
890	Ctenogobiops_feroculus
891	Ctenogobiops_maculosus
892	Discordipinna_griessingeri
893	Eviota_distigma
894	Eviota_guttata
895	Eviota_pardalota
896	Eviota_prasina
897	Eviota_sebreei
898	Eviota_zebrina
899	Exyrias_belissimus
900	Feia_nympha
901	Gladiogobius_rex
902	Glossogobius_giuris
903	Gobiodon_citrinus
904	Gobiodon_histrio
905	Gobiodon_prolixus
906	Gobiodon_reticulatus
907	Gobiodon_rivulatus
908	Gobius_cobitis
909	Gobius_paganellus
910	Hetereleotris_bipunctata
911	Hetereleotris_diademata
912	Hetereleotris_vulgaris
913	Istigobius_decoratus
914	Istigobius_ornatus
915	Koumansetta_hectori
916	Lotilia_graciliosa
917	Luposicya_lupus
918	Macrodontogobius_wilburi
919	Obliquogobius_turkayi
920	Oplopomops_elati
921	Oplopomus_oplopomus
922	Palutrus_scapulopunctatus
923	Papillogobius_melanobranchus
924	Papillogobius_reichei
925	Paragobiodon_echinocephalus
926	Paragobiodon_xanthosoma
927	Pleurosicya_micheli
928	Pleurosicya_mossambica
929	Pleurosicya_plicata
930	Pleurosicya_prognatha
931	Priolepis_cincta
932	Priolepis_goldshmidtae
933	Priolepis_randalli
934	Priolepis_semidoliata
935	Psilogobius_randalli
936	Silhouettea_aegyptia
937	Silhouettea_insinuans
938	Tomiyamichthys_fourmanoiri
939	Tomiyamichthys_latruncularia
940	Trimma_avidori
941	Trimma_barralli
942	Trimma_filamentosum
943	Trimma_fishelsoni
944	Trimma_flammeum
